step,reward,turn_limit_count,other_exceed_count,empty_prediction_count,exceed_ratio_metric,response_clip_ratio,response_length_mean,response_length_max,num_turns_mean,num_turns_max,step_time_s,gen_time_s,old_log_prob_time_s,update_actor_time_s,throughput,actor_mfu,actor_infer_mfu,reason_counts
76,0.51171875,6,0,6,0.01171875,0.00390625,1109.75,16384.0,6.35546875,24,368.5189301110804,242.96145678777248,49.843229613266885,69.17668469808996,487.5461891356386,0.5269264115361939,0.22185080072531083,assistant_turn_limit_with_tool_call:6
77,0.482421875,8,0,7,0.015625,0.017578125,1515.279296875,16384.0,6.53515625,24,404.0232193712145,261.17082752566785,54.41258136834949,81.62370992731303,554.7252342298623,0.5564782448666298,0.285281894030523,assistant_turn_limit_with_tool_call:8
78,0.388671875,1,0,2,0.001953125,0.04296875,2083.890625,16384.0,6.0546875,24,452.590162393637,297.4634341420606,59.03385657072067,89.26708444114774,579.2017188654772,0.5341207767087268,0.2547552262115381,assistant_turn_limit_with_tool_call:1
79,0.41796875,19,0,18,0.037109375,0.0390625,1842.166015625,16384.0,7.0546875,24,468.3233516532928,325.5339922532439,54.20746552105993,81.63734523300081,510.4285834906846,0.546294275665169,0.2983632561647499,assistant_turn_limit_with_tool_call:19
80,0.400390625,13,0,13,0.025390625,0.03125,1685.787109375,16384.0,6.74609375,24,456.9539215732366,308.6722611244768,55.769714635796845,80.33546314481646,510.62998692878756,0.5612140199278906,0.2906377093183364,assistant_turn_limit_with_tool_call:13
81,0.41796875,29,0,29,0.056640625,0.05859375,2248.396484375,16384.0,7.3359375,24,501.65088534913957,351.2617928888649,53.16232589446008,87.70911983493716,526.4644849897761,0.5359725527911823,0.29893717485219373,assistant_turn_limit_with_tool_call:29
82,0.48828125,35,0,35,0.068359375,0.01171875,1423.91796875,16384.0,7.5859375,24,391.3708302648738,261.1188848912716,48.98565624281764,74.77054428495467,518.7809982225515,0.5223104309198516,0.25244786677856706,assistant_turn_limit_with_tool_call:35
83,0.474609375,14,0,14,0.02734375,0.037109375,1822.015625,16384.0,6.49609375,24,440.7582539981231,301.0640000626445,52.44855669233948,80.49276952631772,538.9008551635915,0.5423337389227639,0.2944164924250247,assistant_turn_limit_with_tool_call:14
84,0.421875,35,0,35,0.068359375,0.041015625,1900.591796875,16384.0,7.28515625,24,503.38003760110587,367.05224200710654,51.2627117773518,78.53761728852987,467.415982805519,0.5264497477659322,0.2881317455175157,assistant_turn_limit_with_tool_call:35
85,0.431640625,17,0,18,0.033203125,0.041015625,1771.501953125,16384.0,6.625,24,491.9242653110996,344.56265554763377,57.77750166133046,82.83860520739108,484.5911084488664,0.5520527489795346,0.2911665981272652,assistant_turn_limit_with_tool_call:17
86,0.458984375,33,0,33,0.064453125,0.060546875,2141.298828125,16384.0,7.3046875,24,489.3656105529517,348.20349617209285,52.8665112555027,81.5517741991207,509.9768345348327,0.5216685739020995,0.2529187993035901,assistant_turn_limit_with_tool_call:33
87,0.404296875,46,0,44,0.08984375,0.052734375,2140.724609375,16384.0,8.02734375,24,564.6202107798308,409.05936008132994,57.13720439374447,88.03268269728869,466.9765091048323,0.5458959570917461,0.29859040081928795,assistant_turn_limit_with_tool_call:46
88,0.486328125,29,0,31,0.056640625,0.0390625,1928.71875,16384.0,7.03515625,24,529.8673534095287,385.6106215408072,52.15096312947571,85.29505249205977,455.3045180980224,0.5484343284554981,0.2933839183846619,assistant_turn_limit_with_tool_call:29
89,0.455078125,52,0,51,0.1015625,0.056640625,2250.353515625,16384.0,7.68359375,24,545.8989068055525,387.30135493259877,59.33130054920912,90.56349376216531,489.4324236028721,0.544274491293494,0.3025008966321744,assistant_turn_limit_with_tool_call:52
