run,label,step,tool_call_count_mean,reward_mean
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",7,2.173828125,0.47265625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",8,1.91796875,0.447265625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",9,1.955078125,0.490234375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",10,2.087890625,0.3828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",11,1.890625,0.46875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",12,1.962890625,0.4296875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",13,2.0234375,0.482421875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",14,2.125,0.416015625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",15,1.828125,0.404296875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",16,1.9140625,0.423828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",17,2.0546875,0.4375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",18,1.740234375,0.42578125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",19,1.951171875,0.388671875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",20,1.765625,0.455078125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",21,1.9609375,0.478515625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",22,2.017578125,0.470703125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",23,2.212890625,0.482421875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",24,1.826171875,0.458984375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",25,1.724609375,0.458984375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",26,1.998046875,0.48828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",27,1.861328125,0.45703125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",28,1.763671875,0.5078125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",29,1.90234375,0.423828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",30,2.111328125,0.423828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",31,2.064453125,0.3984375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",32,1.841796875,0.484375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",33,2.111328125,0.435546875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",34,1.9921875,0.48828125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",35,2.111328125,0.484375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",36,1.970703125,0.498046875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",37,1.890625,0.4453125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",38,2.126953125,0.392578125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",39,2.115234375,0.458984375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",40,1.927734375,0.505859375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",41,2.1328125,0.478515625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",42,1.994140625,0.4140625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",43,1.80078125,0.482421875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",44,1.82421875,0.470703125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",45,1.802734375,0.5234375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",46,2.10546875,0.404296875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",47,2.1953125,0.453125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",48,2.216796875,0.48046875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",49,1.791015625,0.46484375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",50,2.265625,0.4453125
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",51,2.072265625,0.48046875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",52,2.076171875,0.4296875
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",53,2.099609375,0.380859375
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",54,1.9140625,0.509765625
base_t12_no_exceed_old_extract_0528,"base init, T12 no-exceed, old extraction",55,2.140625,0.43359375
